module,n,n_anomaly_label,pr_auc,precision_at_k,recall_at_k,score_p50,score_p999,score_max,sec
1(PM-3),2592001,0,,,,0.4678,0.6742,0.7555,15.8
11(우측분전반1),2592001,0,,,,0.4677,0.6786,0.7635,16.2
12(4호기),2592001,0,,,,0.4708,0.6761,0.7638,16.4
13(3호기),2592001,13049,0.919,0.8347,0.8347,0.4454,0.736,0.8097,15.2
14(2호기),2592001,0,,,,0.4659,0.6814,0.7569,15.9
15(예비건조기),2592001,26244,0.9248,0.903,0.903,0.448,0.7038,0.7655,15.4
16(호이스트),2592001,0,,,,0.4684,0.6795,0.7625,15.9
17(6호기),2592001,25670,0.7937,0.7607,0.7607,0.4479,0.6985,0.7752,15.2
18(우측분전반2),2592001,0,,,,0.4673,0.6776,0.7643,15.8
2(L-1전등),2592001,0,,,,0.4686,0.6787,0.7709,15.7
3(분쇄기(2)),2592001,0,,,,0.4669,0.68,0.7624,16.1
4(분쇄기(1)),2592001,0,,,,0.4677,0.6746,0.7739,16.1
5(좌측분전반),2592001,0,,,,0.4695,0.6775,0.7681,16.2
